date,code,open,high,low,close,volume,amount,SMA_20,EMA_20,RSI_14,MACD,MACD_Signal,MACD_Diff
2001-08-31,sh.600519,37.15,37.62,36.8,37.01,2323148,86231237.0,37.01,37.01,,,,
2001-09-03,sh.600519,37.2,37.57,36.85,36.99,2211209,82129438.0,37.0,37.00809523809524,,,,
2001-09-04,sh.600519,37.01,38.08,36.88,37.46,3700677,139204380.0,37.153333333333336,37.05113378684807,,,,
2001-09-05,sh.600519,37.61,37.92,37.21,37.44,2606695,97796243.0,37.225,37.08816866429111,,,,
2001-09-06,sh.600519,37.35,37.47,36.51,36.7,2899703,107078403.0,37.12,37.05120022007291,,,,
2001-09-07,sh.600519,36.5,36.95,35.65,35.68,3155225,113868743.0,36.88,36.9206097229231,,,,
2001-09-10,sh.600519,35.4,36.85,35.01,36.7,1887889,68406471.0,36.854285714285716,36.8995992731209,,,,
2001-09-11,sh.600519,36.8,36.95,36.2,36.29,1139081,41579698.0,36.78375,36.84154219949034,,,,
2001-09-12,sh.600519,35.33,36.2,35.3,35.98,2504519,89421380.0,36.69444444444444,36.75949056144365,,,,
2001-09-13,sh.600519,36.01,36.3,35.7,35.89,1098668,39512775.0,36.614,36.676681936544256,,,,
2001-09-14,sh.600519,36.01,36.5,35.8,36.3,767283,27740691.0,36.585454545454546,36.640807466397185,,,,
2001-09-17,sh.600519,36.08,36.29,35.5,35.84,898397,32183249.0,36.52333333333333,36.564540088645074,,,,
2001-09-18,sh.600519,35.88,36.55,35.85,36.25,1077326,39006062.0,36.50230769230769,36.53458388972649,,,,
2001-09-19,sh.600519,36.3,36.92,36.06,36.92,865053,31597369.0,36.53214285714286,36.57129018594301,53.56945895931058,,,
2001-09-20,sh.600519,36.9,37.05,36.5,36.61,1117335,41189577.0,36.53733333333333,36.574976834900816,49.53221533714229,,,
2001-09-21,sh.600519,36.28,36.6,36.0,36.06,787972,28638681.0,36.5075,36.52593142205312,43.297505426524694,,,
2001-09-24,sh.600519,36.06,36.39,36.0,36.05,406860,14703096.0,36.480588235294114,36.48060461995282,43.19105575811062,,,
2001-09-25,sh.600519,36.28,36.54,36.05,36.23,348845,12639790.0,36.46666666666667,36.45673751329065,45.775312647694136,,,
2001-09-26,sh.600519,36.11,36.48,36.0,36.08,495626,17892565.0,36.44631578947369,36.420857750120106,43.979850909550564,,,
2001-09-27,sh.600519,36.08,36.98,36.0,36.7,877804,32085131.0,36.458999999999996,36.447442726299144,52.30680820006377,,,
2001-09-28,sh.600519,36.9,37.2,36.5,37.09,1708847,63169143.0,36.463,36.5086386571278,56.66985453130272,,,
2001-10-08,sh.600519,37.0,37.18,36.25,36.58,655217,24091149.0,36.4425,36.51543497549658,50.20220495062026,,,
2001-10-09,sh.600519,36.6,37.5,36.6,37.3,955852,35498605.0,36.4345,36.59015545402072,57.56533058440929,,,
2001-10-10,sh.600519,37.3,37.43,36.03,36.1,1754869,63956753.0,36.3675,36.54347398220922,45.49214349552681,,,
2001-10-11,sh.600519,36.01,36.5,35.65,35.75,1230684,44319896.0,36.32,36.467905031522626,42.680489950022924,,,
2001-10-12,sh.600519,35.9,36.65,34.05,36.0,2001070,70897331.0,36.336,36.42334264756809,45.28192428997117,-0.12501507522466682,,
2001-10-15,sh.600519,35.9,36.0,34.9,35.3,975531,34501714.0,36.266,36.31635763351399,39.830953917625976,-0.19947878331582558,,
2001-10-16,sh.600519,35.13,35.8,34.75,34.8,831991,29068173.0,36.191500000000005,36.171942620798376,36.45524055192733,-0.29543207275116146,,
2001-10-17,sh.600519,34.79,34.81,33.9,34.2,1250768,42766283.0,36.1025,35.984138561674726,32.85663781717176,-0.4151056519640264,,
2001-10-18,sh.600519,34.2,34.66,33.91,34.04,498346,16999063.0,36.010000000000005,35.79898250818189,31.95088388132909,-0.5168999872223736,,
2001-10-19,sh.600519,34.0,34.15,33.01,33.5,1568754,52422843.0,35.870000000000005,35.58003179311695,29.041112798432763,-0.6338397087242456,,
2001-10-22,sh.600519,33.3,33.7,32.7,32.79,976065,32268911.0,35.7175,35.31431447948677,25.723976456446792,-0.7748740807416752,,
2001-10-23,sh.600519,36.0,36.07,35.01,36.07,4059824,145710538.0,35.7085,35.38628452905946,52.63806530402726,-0.6148882003480196,,
2001-10-24,sh.600519,36.78,36.8,35.11,35.86,4068239,147001102.0,35.655499999999996,35.431400288196656,51.3550139986154,-0.49928800117523764,-0.4767075366060271,-0.022580464569210534
2001-10-25,sh.600519,35.7,35.8,34.86,34.88,1603686,56527283.0,35.569,35.37888597503507,45.75057524238825,-0.4812047909837318,-0.4776069874815681,-0.00359780350216371
2001-10-26,sh.600519,34.7,35.1,34.42,35.0,900220,31280145.0,35.516,35.342801596460305,46.52019978004021,-0.45198056885666915,-0.4724817037565883,0.02050113489991917
2001-10-29,sh.600519,34.88,35.63,34.88,35.3,458786,16205054.0,35.478500000000004,35.338725253940275,48.4877201256942,-0.400001698884104,-0.4579857027820915,0.057984003897987524
2001-10-30,sh.600519,35.25,35.49,34.92,35.0,348417,12214728.0,35.417,35.30646570594596,46.63985065566561,-0.37865071302088893,-0.44211870482985105,0.06346799180896212
2001-10-31,sh.600519,35.0,35.09,34.8,35.05,476247,16633345.0,35.3655,35.282040400617774,47.002368525914,-0.35361902081442054,-0.424418768026765,0.07079974721234444
2001-11-01,sh.600519,35.05,35.64,34.95,35.57,664303,23511580.0,35.309000000000005,35.30946512436846,50.74983772450333,-0.2884959682787098,-0.3972342080771539,0.1087382397984441
2001-11-02,sh.600519,35.28,35.72,35.16,35.36,343520,12189356.0,35.222500000000004,35.3142779696667,49.2357102068738,-0.25093806708088096,-0.3679749798778994,0.11703691279701844
2001-11-05,sh.600519,35.0,35.26,34.7,34.9,369076,12879737.0,35.1385,35.27482292493654,45.998334371799444,-0.2553478246372194,-0.3454495488297634,0.09010172419254403
2001-11-06,sh.600519,34.8,35.3,34.72,35.15,260931,9138666.0,35.031,35.26293502732353,47.99951889693576,-0.2359497962310826,-0.3235495983100273,0.08759980207894469
2001-11-07,sh.600519,35.0,35.0,33.8,33.85,932538,31791131.0,34.9185,35.12836978662605,39.750369366643255,-0.321766727864663,-0.3231930242209544,0.0014262963562914344
2001-11-08,sh.600519,33.35,33.89,32.98,33.7,740216,24682905.0,34.815999999999995,34.992334568852144,38.91923886645231,-0.3973011702799809,-0.3380146534327597,-0.05928651684722119
2001-11-09,sh.600519,33.7,34.48,33.34,34.15,376076,12737203.0,34.7235,34.91211222896146,42.78424029178398,-0.41605549216913573,-0.35362282118003496,-0.06243267098910077
2001-11-12,sh.600519,34.4,34.4,33.52,33.6,268333,9088858.0,34.6385,34.78714915953656,39.49481406413423,-0.4698823199493063,-0.37687472093388924,-0.09300759901541705
2001-11-13,sh.600519,33.28,33.7,33.21,33.64,267381,8965279.0,34.5805,34.677896858628316,39.85697663752393,-0.503508668552584,-0.40220151045762825,-0.10130715809495577
2001-11-14,sh.600519,33.64,34.0,33.64,33.65,76900,2599260.0,34.553000000000004,34.580001919711336,39.953742373663246,-0.523318387047432,-0.426424885775589,-0.09689350127184304
2001-11-15,sh.600519,33.65,33.8,33.5,33.68,219345,7378238.0,34.535,34.494287451167395,40.26425308429986,-0.5304819170699204,-0.4472362920344553,-0.08324562503546512
2001-11-16,sh.600519,36.2,36.2,33.99,34.09,995470,34600364.0,34.564499999999995,34.45578388438955,44.48914715927052,-0.4973424386878804,-0.45725752136514036,-0.040084917322740055
2001-11-19,sh.600519,34.15,35.08,34.1,35.05,373461,12950484.0,34.677499999999995,34.51237589540006,52.89071106853389,-0.38912954321833126,-0.4436319257357786,0.05450238251744732
2001-11-20,sh.600519,35.2,35.53,34.9,35.38,806908,28559195.0,34.642999999999994,34.595006762504816,55.39013833018468,-0.27358804912431367,-0.4096231504134856,0.13603510128917196
2001-11-21,sh.600519,35.48,35.5,34.9,35.18,511442,17957628.0,34.609,34.650720404171025,53.536253840314075,-0.19590068994381937,-0.36687865831955235,0.17097796837573298
2001-11-22,sh.600519,35.22,35.3,34.91,35.12,419879,14713840.0,34.620999999999995,34.69541369901188,52.96354588919232,-0.1375883636349613,-0.3210205993826341,0.1834322357476728
2001-11-23,sh.600519,35.01,35.25,34.78,34.98,396090,13866447.0,34.620000000000005,34.72251715624884,51.57709782992696,-0.10150220070197946,-0.2771169196465032,0.17561471894452374
2001-11-26,sh.600519,35.0,35.0,34.5,34.61,310099,10749495.0,34.5855,34.71180123660609,48.00080215301826,-0.10158851520517231,-0.24201123875823705,0.14042272355306473
2001-11-27,sh.600519,34.58,35.07,34.58,35.0,256948,8954894.0,34.5855,34.7392487378817,51.79496919660323,-0.06938732554009874,-0.2074864561146094,0.13809913057451065
2001-11-28,sh.600519,35.05,35.39,34.9,35.05,377362,13256608.0,34.5855,34.76884409617868,52.27575205736069,-0.03937913049720976,-0.17386499099112948,0.13448586049391972
2001-11-29,sh.600519,35.01,35.2,34.81,34.83,304618,10658762.0,34.548500000000004,34.77466846797119,49.91668799682875,-0.03296952890522675,-0.14568589857394895,0.1127163696687222
2001-11-30,sh.600519,34.83,35.45,34.8,35.34,407097,14292950.0,34.5475,34.82850956625965,54.98778594504563,0.013111720534709548,-0.11392637475221726,0.1270380952869268
2001-12-03,sh.600519,35.35,36.27,35.34,36.17,1603705,57741700.0,34.611000000000004,34.9562705599492,61.7717823307732,0.11527666843739581,-0.06808576611429465,0.18336243455169046
2001-12-04,sh.600519,36.25,36.27,35.81,36.21,689499,24859860.0,34.664,35.07567336376356,62.068485373023016,0.1971976200028891,-0.015029088890857904,0.212226708893747
2001-12-05,sh.600519,37.0,37.0,35.96,36.0,1502835,54737513.0,34.771499999999996,35.16370447197656,59.45931845836176,0.24238129863679347,0.036452988614672374,0.20592831002212109
2001-12-06,sh.600519,35.9,36.3,35.8,36.06,637222,23004767.0,34.889500000000005,35.249065950835934,59.9769933076554,0.27980576139968605,0.08512354317167511,0.19468221822801093
2001-12-07,sh.600519,36.1,36.2,35.8,35.86,390820,14031912.0,34.975,35.307250145994416,57.348241673536336,0.289983836084005,0.1260956017541411,0.1638882343298639
2001-12-10,sh.600519,36.0,36.08,35.71,35.99,416156,14941666.0,35.094500000000004,35.372273941614,58.6178675680371,0.3050238223912771,0.16188124588156833,0.1431425765097088
2001-12-11,sh.600519,36.0,36.0,35.61,35.64,358002,12821499.0,35.1945,35.39777166146028,53.96066132740565,0.28541100457057667,0.18658719761937,0.09882380695120666
2001-12-12,sh.600519,35.6,36.1,35.6,35.77,463267,16611472.0,35.3005,35.433221979416444,55.37873035037667,0.27716266007207935,0.20470229010991187,0.07246036996216748
2001-12-13,sh.600519,35.61,35.97,35.2,35.26,354045,12580276.0,35.3795,35.41672464804345,49.00205776198416,0.22685797238724348,0.2091334265653782,0.01772454582186528
2001-12-14,sh.600519,35.02,35.5,35.02,35.2,284125,10026619.0,35.435,35.396084205372645,48.297460137912026,0.18007386696593386,0.20332151464548937,-0.023247647679555505
2001-12-17,sh.600519,35.11,35.61,35.05,35.36,441389,15611050.0,35.4505,35.39264761438477,50.34776786876627,0.1541310622402321,0.19348342416443792,-0.039352361924205825
2001-12-18,sh.600519,35.48,35.96,35.1,35.9,482120,17167382.0,35.4765,35.44096688920527,56.60277225941972,0.17512594671735826,0.189811928675022,-0.01468598195766374
2001-12-19,sh.600519,35.9,36.49,35.63,35.96,962001,34761229.0,35.515499999999996,35.49039861404286,57.24723121297869,0.1943655177838508,0.19072264649678777,0.003642871287063032
2001-12-20,sh.600519,35.9,35.9,34.65,34.76,1136223,39988830.0,35.497499999999995,35.42083684127687,43.37400473447541,0.11149776841676129,0.1748776708807825,-0.0633799024640212
2001-12-21,sh.600519,34.7,35.97,34.7,35.87,813504,28861442.0,35.541999999999994,35.46361428496479,54.38562311672268,0.13384927226400833,0.16667199115742767,-0.03282271889341934
