date,code,open,high,low,close,volume,amount
2015-03-31,sh.601398,4.99,5.01,4.82,4.86,1004747648,4946411264.0
2015-04-01,sh.601398,4.83,4.92,4.82,4.89,682475760,3322487296.0
2015-04-02,sh.601398,4.91,4.92,4.81,4.85,555922224,2697751248.0
2015-04-03,sh.601398,4.81,4.89,4.79,4.87,514181856,2495174384.0
2015-04-07,sh.601398,4.93,5.0,4.9,5.0,861760864,4270348192.0
2015-04-08,sh.601398,5.01,5.05,4.92,5.04,880345136,4397159424.0
2015-04-09,sh.601398,5.05,5.14,5.0,5.03,876879808,4426962432.0
2015-04-10,sh.601398,5.01,5.12,5.0,5.1,689361104,3486315120.0
2015-04-13,sh.601398,5.18,5.33,5.18,5.32,1259537920,6605527296.0
2015-04-14,sh.601398,5.3,5.35,5.22,5.26,763721472,4035741584.0
2015-04-15,sh.601398,5.26,5.6,5.25,5.43,1135801936,6130926336.0
2015-04-16,sh.601398,5.41,5.63,5.37,5.62,944008032,5168773120.0
2015-04-17,sh.601398,5.72,5.76,5.62,5.64,1154808960,6557324288.0
2015-04-20,sh.601398,5.69,5.69,5.4,5.42,1414169216,7840590080.0
2015-04-21,sh.601398,5.4,5.45,5.32,5.44,1227983616,6613552896.0
2015-04-22,sh.601398,5.47,5.52,5.42,5.52,939030848,5135954944.0
2015-04-23,sh.601398,5.53,5.53,5.43,5.48,772045488,4226012272.0
2015-04-24,sh.601398,5.37,5.4,5.25,5.33,796662320,4249846720.0
2015-04-27,sh.601398,5.33,5.5,5.33,5.5,894864928,4866667520.0
2015-04-28,sh.601398,5.53,5.85,5.49,5.64,1539549088,8668591872.0
2015-04-29,sh.601398,5.57,5.58,5.44,5.53,737446464,4055593424.0
2015-04-30,sh.601398,5.5,5.52,5.4,5.41,618168848,3363326896.0
2015-05-04,sh.601398,5.39,5.42,5.36,5.39,435844976,2347049584.0
2015-05-05,sh.601398,5.39,5.39,5.11,5.14,792325504,4154907776.0
2015-05-06,sh.601398,5.14,5.28,5.1,5.13,589904128,3058482080.0
2015-05-07,sh.601398,5.13,5.18,5.07,5.08,440196160,2251034864.0
2015-05-08,sh.601398,5.13,5.17,5.07,5.15,352474944,1805319920.0
2015-05-11,sh.601398,5.15,5.21,5.06,5.2,545472928,2796222800.0
2015-05-12,sh.601398,5.22,5.22,5.13,5.19,447072592,2315241872.0
2015-05-13,sh.601398,5.21,5.24,5.14,5.16,447773344,2320211072.0
2015-05-14,sh.601398,5.18,5.19,5.1,5.13,427794976,2200069040.0
2015-05-15,sh.601398,5.12,5.13,5.03,5.08,459914560,2333028784.0
2015-05-18,sh.601398,5.03,5.07,4.99,5.0,338870640,1703567920.0
2015-05-19,sh.601398,4.99,5.15,4.98,5.14,485237664,2471093104.0
2015-05-20,sh.601398,5.14,5.23,5.11,5.15,502261584,2592656000.0
2015-05-21,sh.601398,5.15,5.24,5.14,5.2,404938272,2103803872.0
2015-05-22,sh.601398,5.25,5.35,5.22,5.33,571110784,3026571120.0
2015-05-25,sh.601398,5.35,5.44,5.35,5.44,507821088,2740220784.0
2015-05-26,sh.601398,5.45,5.47,5.4,5.44,491049088,2667503856.0
2015-05-27,sh.601398,5.45,5.46,5.32,5.37,591954960,3187843856.0
2015-05-28,sh.601398,5.36,5.37,5.07,5.1,685890352,3597809760.0
2015-05-29,sh.601398,5.07,5.14,5.0,5.07,538703280,2730794592.0
2015-06-01,sh.601398,5.07,5.25,5.03,5.23,767178720,3949707712.0
2015-06-02,sh.601398,5.21,5.25,5.14,5.2,519137952,2689808192.0
2015-06-03,sh.601398,5.2,5.24,5.12,5.2,444807696,2300977360.0
2015-06-04,sh.601398,5.2,5.38,5.13,5.34,876889792,4623463424.0
2015-06-05,sh.601398,5.41,5.45,5.23,5.32,874789040,4673267968.0
2015-06-08,sh.601398,5.32,5.64,5.3,5.63,1726158096,9499321088.0
2015-06-09,sh.601398,5.65,5.69,5.45,5.52,1312909744,7303845632.0
2015-06-10,sh.601398,5.44,5.48,5.41,5.43,745505728,4060887360.0
2015-06-11,sh.601398,5.42,5.46,5.35,5.42,497674688,2687770256.0
2015-06-12,sh.601398,5.43,5.44,5.37,5.44,485218880,2625858208.0
2015-06-15,sh.601398,5.45,5.51,5.31,5.32,700285488,3785027488.0
2015-06-16,sh.601398,5.29,5.37,5.2,5.23,533868464,2823396784.0
2015-06-17,sh.601398,5.29,5.32,5.21,5.29,484857088,2553292512.0
2015-06-18,sh.601398,5.26,5.26,5.07,5.11,505935440,2624346928.0
2015-06-19,sh.601398,5.08,5.14,4.95,4.97,569782096,2884750208.0
2015-06-23,sh.601398,5.0,5.2,4.98,5.18,687707904,3499038688.0
2015-06-24,sh.601398,5.18,5.24,5.13,5.22,485095312,2513574672.0
2015-06-25,sh.601398,5.31,5.34,5.12,5.15,537049200,2819104976.0
2015-06-26,sh.601398,5.11,5.17,4.85,4.98,775787104,3910574672.0
2015-06-29,sh.601398,5.04,5.1,4.7,5.07,918854160,4584033536.0
2015-06-30,sh.601398,5.06,5.29,5.0,5.28,965041264,4972056320.0
2015-07-01,sh.601398,5.2,5.24,5.11,5.14,606218096,3141718160.0
2015-07-02,sh.601398,5.15,5.48,5.03,5.44,1432633808,7516680448.0
2015-07-03,sh.601398,5.3,5.44,5.16,5.31,1177261296,6290095104.0
2015-07-06,sh.601398,5.73,5.8,5.43,5.79,2949582304,16699620864.0
2015-07-07,sh.601398,5.48,5.94,5.36,5.74,2248404400,12789666816.0
2015-07-08,sh.601398,5.42,5.82,5.17,5.47,2970797104,16225472512.0
2015-07-09,sh.601398,5.47,5.88,5.1,5.58,2008218224,11073784832.0
2015-07-10,sh.601398,5.4,5.9,5.31,5.54,2116259104,11959769600.0
2015-07-13,sh.601398,5.39,5.41,5.22,5.27,1403223264,7451598336.0
2015-07-14,sh.601398,5.2,5.26,5.04,5.15,1096512640,5625904896.0
2015-07-15,sh.601398,5.11,5.3,5.1,5.27,1060248976,5521335808.0
2015-07-16,sh.601398,5.27,5.37,5.15,5.22,741363440,3888617232.0
2015-07-17,sh.601398,5.22,5.24,5.15,5.21,551775456,2864933616.0
2015-07-20,sh.601398,5.18,5.21,5.14,5.17,495904816,2567507616.0
2015-07-21,sh.601398,5.15,5.19,5.11,5.15,410062304,2110593776.0
2015-07-22,sh.601398,5.13,5.17,5.11,5.12,331839840,1702971136.0
2015-07-23,sh.601398,5.11,5.16,5.1,5.15,378126864,1942306384.0
2015-07-24,sh.601398,5.15,5.16,5.09,5.1,437818832,2241409824.0
2015-07-27,sh.601398,5.06,5.1,4.76,4.82,631610816,3140444768.0
2015-07-28,sh.601398,4.76,4.98,4.72,4.83,598084272,2895525840.0
2015-07-29,sh.601398,4.8,4.89,4.8,4.86,377276304,1824651648.0
2015-07-30,sh.601398,4.85,4.86,4.79,4.79,312166464,1503512992.0
2015-07-31,sh.601398,4.77,4.86,4.74,4.83,306775168,1467023152.0
2015-08-03,sh.601398,4.79,4.89,4.75,4.87,480986560,2319874528.0
